id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1853080790,20141215T000000,4,2.75,3140,7928,2,0,0,3,9,3140,0,2013,0,98074,47.5923,-122.058,3500,7055
1624049291,20141008T000000,3,3.5,3350,5025,2,0,2,3,8,2670,680,2014,0,98144,47.5699,-122.296,2030,5117
7237450100,20140919T000000,4,2.5,2245,4330,2,0,0,3,8,2245,0,2014,0,98038,47.3557,-122.063,2530,4478
9521100214,20140604T000000,3,1.75,1420,1189,3,0,0,3,8,1420,0,2006,0,98103,47.6625,-122.352,1380,1196
5693501102,20141030T000000,3,3,1560,2091,3,0,0,3,8,1560,0,2006,0,98103,47.6604,-122.352,1530,2091
6891100590,20150302T000000,4,2.75,2810,5497,2,0,0,3,9,2810,0,2011,0,98052,47.7081,-122.116,2990,5842
2254501095,20141113T000000,2,2.25,1630,1686,2,0,0,3,10,1330,300,2014,0,98122,47.6113,-122.314,1570,2580
9478550110,20150303T000000,3,2.5,1740,4497,2,0,0,3,7,1740,0,2012,0,98042,47.3697,-122.117,1950,4486
993001961,20140709T000000,3,2.25,1390,1484,3,0,0,3,8,1390,0,2007,0,98103,47.6912,-122.343,1250,1087
9274200028,20150219T000000,3,2.5,1070,1089,2,0,0,3,7,900,170,2009,0,98116,47.5902,-122.387,1450,1437
7708200180,20140710T000000,5,3.25,2850,4551,2,0,0,3,8,2370,480,2006,0,98059,47.4916,-122.144,2850,4849
8691430330,20140831T000000,5,3.25,4100,7578,2,0,2,3,10,4100,0,2011,0,98075,47.5955,-121.974,3710,8156
8924100308,20150203T000000,4,2.5,3260,5974,2,0,1,3,9,2820,440,2007,0,98115,47.6772,-122.267,2260,6780
1070000180,20141015T000000,4,3.5,3660,4760,2,0,0,3,9,2840,820,2014,0,98199,47.6482,-122.409,3210,4640
1085623630,20141003T000000,4,2.5,2708,4772,2,0,0,3,9,2708,0,2014,0,98092,47.3413,-122.178,2502,4900
3278605550,20140609T000000,3,2.5,1800,2700,2,0,0,3,8,1800,0,2011,0,98126,47.5458,-122.369,1580,2036
1139000062,20140625T000000,3,2.5,1150,887,3,0,0,3,7,1150,0,2007,0,98133,47.7072,-122.356,1180,915
2838000180,20150220T000000,3,2.5,2230,4006,2,0,0,3,8,2230,0,2014,0,98133,47.73,-122.335,2230,4180
2725079018,20140509T000000,4,3.25,3540,159430,2,0,0,3,9,3540,0,2007,0,98014,47.6285,-121.899,1940,392040
7104100110,20150511T000000,4,3.5,2490,5500,2,0,0,3,9,1780,710,2015,0,98136,47.5499,-122.393,1710,5500
259500230,20141218T000000,3,2.5,2670,4534,2,0,0,3,9,2670,0,2007,0,98056,47.51,-122.184,3040,5079
9523100712,20140618T000000,2,2.5,1430,923,3,0,0,3,8,1410,20,2008,0,98103,47.6683,-122.355,1620,1505
1438000360,20140603T000000,5,2.75,2670,3800,2,0,0,3,8,2670,0,2014,0,98059,47.4783,-122.123,2670,3800
1608000120,20150202T000000,3,2.5,2555,5720,2,0,0,3,8,2555,0,2006,0,98031,47.386,-122.184,2844,5769
7853361120,20140729T000000,3,2.5,1970,6295,2,0,0,3,7,1970,0,2011,0,98065,47.5158,-121.874,2710,6009
2461900448,20140616T000000,3,2,1980,2674,3,0,0,3,8,1980,0,2007,0,98136,47.5524,-122.382,1440,2674
1703400910,20140811T000000,3,2.5,2010,3300,2,0,0,3,9,1610,400,2014,0,98118,47.5573,-122.287,1660,4950
8024200683,20140709T000000,3,1.5,1270,1413,3,0,0,3,8,1270,0,2007,0,98115,47.6989,-122.317,1270,1413
9544700730,20140515T000000,4,2.5,3950,10856,3,0,0,3,10,3950,0,2013,0,98075,47.5818,-121.996,3200,10856
8682320900,20141105T000000,3,2,1870,5300,1,0,0,3,8,1870,0,2009,0,98053,47.7106,-122.02,1870,5050
3278600750,20150407T000000,1,1.5,1180,1688,2,0,0,3,8,1070,110,2007,0,98126,47.549,-122.372,1380,2059
5676000008,20150316T000000,3,2.5,1420,1269,3,0,0,3,7,1420,0,2007,0,98103,47.6904,-122.342,1420,1300
3744000150,20140928T000000,4,2.75,2810,5046,2,0,0,3,9,2810,0,2014,0,98038,47.3559,-122.022,3060,4934
3630080120,20140919T000000,3,2.5,1400,1529,2,0,0,3,7,1400,0,2005,0,98029,47.5535,-121.997,1440,1536
7853360620,20140701T000000,3,2.5,1950,5689,2,0,0,3,7,1950,0,2009,0,98065,47.5158,-121.873,2190,5653
255550100,20140711T000000,3,2.25,1930,3462,2,0,0,3,7,1930,0,2004,0,98019,47.7453,-121.985,1930,2952
9268200484,20140513T000000,4,2.5,2210,4861,2,0,0,3,9,2210,0,2013,0,98117,47.6959,-122.364,1590,5080
