id,price
1853080790,869950
1624049291,557500
7237450100,389990
9521100214,455000
5693501102,598500
6891100590,750000
2254501095,729999
9478550110,299950
993001961,374950
9274200028,386950
7708200180,535000
8691430330,890000
8924100308,1050000
1070000180,1107460
1085623630,436952
3278605550,365000
1139000062,288000
2838000180,700000
2725079018,800000
7104100110,899000
259500230,465750
9523100712,485000
1438000360,494995
1608000120,255000
7853361120,530000
2461900448,435000
1703400910,639000
8024200683,440000
9544700730,914500
8682320900,580000
3278600750,250000
5676000008,410000
3744000150,531155
3630080120,358000
7853360620,425000
255550100,326000
9268200484,650000
8562790720,749950
7140700690,239950
3624039183,315000
2254502071,375000
4310702838,375000
6431000749,349000
3362401761,450000
3629700120,669950
3226049565,504600
567000408,400000
825059349,1020000
7787920230,518000
5694000706,535000
1760650900,337500
2021000180,380000
6400700389,875000
6431000987,385000
2311400056,1987500
3224059107,649500
1245002281,1050000
121039156,249000
9211000110,525000
7625702263,402000
8085400586,1750000
2895800590,359800
100300530,330000
4092302096,433000
7010700308,1010800
7853370100,599832
6181500120,312891
567000775,449000
3331000035,495000
4216500110,819995
2776600082,407500
323079058,850000
1088100450,1720000
98300230,1459000
847100047,579000
1853080150,890776
6021503707,352500
9512200090,529000
9268850040,484000
7283900306,400000
1980200236,649950
2413910120,915000
7787920180,534950
1283800110,776000
6140100028,370000
1972200555,610000
6891100090,850000
3438503021,443000
4233600150,1150000
2770601782,453000
9268851020,735000
8682291050,810000
9468200109,1555000
2524069097,2238890
7625702441,377500
9521100866,482000
148000072,600000
1493300057,420000
3304030220,480000
7625702277,406000
1023059465,505000
3262300818,1865000
2937300040,942990
2768100206,440000
7904700134,390000
9521100867,475000
1702901618,420000
7237550100,1408760
7430500110,1378000
603000555,462500
3304300300,579950
6453550090,861111
2625069038,1450000
1760650820,290000
9578060230,535000
3416600750,585000
2487200490,670000
8964800330,3000000
5637500082,346000
324069112,1325000
524059322,999999
889000025,599000
2909310100,332000
8562780180,336750
1043000100,370000
1865400076,324000
8902000201,338500
715010530,1881580
4253400100,402723
3874900085,715000
1972200227,459000
8562770720,589999
6669080120,405000
9211010300,509900
3277800823,327000
8835770330,1057000
1220000371,327500
880000205,249000
1561750040,1375000
688000017,516500
2522059251,465000
2855000110,388000
6821101731,549000
476000017,553000
2770603523,530000
2255500123,747450
3438501329,305000
423059387,540000
6664500090,750000
2122059216,422000
9406530090,337000
7168100015,579950
5007500120,341780
3528900770,710200
9521100031,690000
524059330,1700000
6021503705,329000
3438501862,330000
3345700207,608500
6056111067,230000
8562790760,785000
1931300090,610950
9578500790,399950
9253900271,3567000
3881900317,579000
567000385,362500
7011201004,645000
7853420110,594866
7853420110,625000
3052700432,490000
2025049203,399950
952006823,380000
3832050760,270000
2767604724,505000
6632300207,385000
2767600688,414500
7570050450,347500
7430200100,1222500
4140940150,572000
1931300412,475000
8672200110,1088000
5087900040,350000
1972201967,520000
7502800100,679950
191100405,1575000
8956200760,541800
7202300110,810000
249000205,1537000
5100403806,467000
844000965,224000
7852140040,507250
9834201367,429000
3448900210,610685
7936000429,1007500
2997800021,475000
263000018,360000
6600060120,400000
1523300141,402101
291310100,400000
1523300157,325000
